
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
145,Mira Bhayandar,5 NOTA,,NOTA,2621,2,2623,1.24%,437178,
145,Mira Bhayandar,6 CA Narendra Bhambwani,MALE,AAAP,2042,,2042,0.96%,437178,
145,Mira Bhayandar,7 Salim Abbas Khan,MALE,VBA,1417,4,1421,0.67%,437178,
145,Mira Bhayandar,8 Kirtawade Vidhyadhar Bhimrao,MALE,BSP,573,3,576,0.27%,437178,
145,Mira Bhayandar,9 Jangam Pradeep Dilip,MALE,IND,527,,527,0.25%,437178,
145,Mira Bhayandar,10 Faheem Ahmed Shaikh,MALE,NAP,515,,515,0.24%,437178,
145,Mira Bhayandar,11 Ravindra Babasaheb Kharat,MALE,IND,178,,178,0.08%,437178,
145,Mira Bhayandar,12 Mahesh Desai,MALE,IND,129,,129,0.06%,437178,
145,Mira Bhayandar,13 Birju Ramkumar Choudhary,MALE,SBSP,126,,126,0.06%,437178,
 TOTAL : ,,,,,211475,161,211636,48.41%,,
146,Ovala - Majiwada,1 PRATAP BABURAO SARNAIK,MALE,SHS,117289,304,117593,60.72%,449717,
146,Ovala - Majiwada,2 CHAVAN VIKRANT BHIMSEN,MALE,INC,33517,68,33585,17.34%,449717,
146,Ovala - Majiwada,3 SANDEEP DINKAR PACHANGE,MALE,MNS,21071,61,21132,10.91%,449717,
146,Ovala - Majiwada,4 DIVEKAR KISHOR TATERAO,MALE,VBA,6481,11,6492,3.35%,449717,
146,Ovala - Majiwada,5 NOTA,,NOTA,6047,7,6054,3.13%,449717,
146,Ovala - Majiwada,6 SANAULLAH MAJHAR HUSAIN CHAUDHARI,MALE,IND,3360,,3360,1.73%,449717,
146,Ovala - Majiwada,7 VIKAS KRISHNA MUKADAM,MALE,SBBGP,1295,1,1296,0.67%,449717,
146,Ovala - Majiwada,8 TIRPUDE UTTAM KISANRAO,MALE,BSP,1265,2,1267,0.65%,449717,
146,Ovala - Majiwada,9 ATULLA ZAKAULLA KHAN,MALE,BMUP,719,,719,0.37%,449717,
146,Ovala - Majiwada,10 RAVINDRA SITARAM DUNGHAV,MALE,IND,529,,529,0.27%,449717,
146,Ovala - Majiwada,11 SAGAR RAVINDRA SALUNKHE,MALE,MAHKRS,465,2,467,0.24%,449717,
146,Ovala - Majiwada,12 DHEERAJ PANDEY,MALE,IND,391,,391,0.20%,449717,
146,Ovala - Majiwada,13 SALMAN AZIMULLA HASHMI,MALE,IND,338,,338,0.17%,449717,
146,Ovala - Majiwada,14 RAMPRAVESH M. CHAUBEY,MALE,JP,263,1,264,0.14%,449717,
146,Ovala - Majiwada,15 SANTOSH PANDIT KATARNAVARE,MALE,APoI,182,,182,0.09%,449717,
 TOTAL : ,,,,,193212,457,193669,43.06%,,
147,Kopri-Pachpakhadi,1 EKNATH SAMBHAJI SHINDE,MALE,SHS,113153,344,113497,65.36%,352995,
147,Kopri-Pachpakhadi,2 GHADIGAONKAR SANJAY PANDURANG,MALE,INC,24175,22,24197,13.93%,352995,
147,Kopri-Pachpakhadi,3 MAHESH PARSHURAM KADAM,MALE,MNS,21477,36,21513,12.39%,352995,
147,Kopri-Pachpakhadi,4 BAGWE UNMESH B.,MALE,VBA,5905,20,5925,3.41%,352995,
147,Kopri-Pachpakhadi,5 NOTA,,NOTA,5134,13,5147,2.96%,352995,
147,Kopri-Pachpakhadi,6 PRABHAKAR BABURAO WAGH,MALE,BSP,1045,2,1047,0.60%,352995,
147,Kopri-Pachpakhadi,7 VIJAY DYANOBA GHATE,MALE,RBS,698,1,699,0.40%,352995,
147,Kopri-Pachpakhadi,8 SUREN (BABU) ANANT KOLI,MALE,RMGP,593,1,594,0.34%,352995,
147,Kopri-Pachpakhadi,9 RAVINDRA SHIVRAM SALUNKHE,MALE,MAHKRS,376,1,377,0.22%,352995,
147,Kopri-Pachpakhadi,10 LEELA PRABHULAL CHAVAN,FEMALE,IND,249,1,250,0.14%,352995,
147,Kopri-Pachpakhadi,11 TUSHAR DASHRATH LOGADE,MALE,IND,237,1,238,0.14%,352995,
147,Kopri-Pachpakhadi,12 SADHANA SUDHAKAR SHINDE,FEMALE,APoI,178,,178,0.10%,352995,
 TOTAL : ,,,,,173220,442,173662,49.20%,,
148,Thane,1 KELKAR SANJAY MUKUND,MALE,BJP,91771,527,92298,51.78%,337846,
148,Thane,2 AVINASH ANANT JADHAV,MALE,MNS,72431,443,72874,40.88%,337846,
148,Thane,3 NOTA,,NOTA,5511,36,5547,3.11%,337846,
148,Thane,4 EKNATH ANANDA JADHAV (BHAU),MALE,IND,3960,36,3996,2.24%,337846,
148,Thane,5 KEDARNATH RUPARAM BHARTI,MALE,BSP,2318,15,2333,1.31%,337846,
148,Thane,6 GODBOLE YOGESH VISHWANATH (SAMIR),MALE,BAHUMP,1209,1,1210,0.68%,337846,
 TOTAL : ,,,,,177200,1058,178258,52.76%,,
149,Mumbra-Kalwa,1 AWHAD JITENDRA SATISH,MALE,NCP,109014,269,109283,61.03%,357578,
149,Mumbra-Kalwa,2 DEEPALI JAHANGIR SAYED,FEMALE,SHS,33497,147,33644,18.79%,357578,
149,Mumbra-Kalwa,3 ABU ALTAMASH FAIZI,MALE,AAAP,30511,9,30520,17.05%,357578,
149,Mumbra-Kalwa,4 NOTA,,NOTA,2566,25,2591,1.45%,357578,
149,Mumbra-Kalwa,5 FARHAT MOHD AMIN SHAIKH,FEMALE,IUML,716,1,717,0.40%,357578,
149,Mumbra-Kalwa,6 KALPANA PANDHARINATH GAIKWAD,FEMALE,IND,557,4,561,0.31%,357578,
149,Mumbra-Kalwa,7 MOHAMMAD YUSUF MOHAMMAD FAROOQ KHAN,MALE,IND,496,2,498,0.28%,357578,
149,Mumbra-Kalwa,8 NAAZ MOHAMMED AHMED KHAN,FEMALE,BAHUMP,313,,313,0.17%,357578,
149,Mumbra-Kalwa,9 SANTOSH BHIKAJI BHALERAO,MALE,APoI,292,1,293,0.16%,357578,
149,Mumbra-Kalwa,10 PRADIP TUKARAM JANGAM,MALE,IND,288,3,291,0.16%,357578,
149,Mumbra-Kalwa,11 ABDUL RAUF MOHAMMED HANIF? MEMON,MALE,IND,178,,178,0.10%,357578,
149,Mumbra-Kalwa,12 QAISAR RAZA HUSAINI SHAIKH,MALE,IND,161,,161,0.09%,357578,
 TOTAL : ,,,,,178589,461,179050,50.07%,,
150,Airoli,1 GANESH NAIK,MALE,BJP,114465,180,114645,58.37%,461489,
150,Airoli,2 GANESH RAGHU SHINDE,MALE,NCP,36100,54,36154,18.41%,461489,
150,Airoli,3 NILESH ARUN BANKHELE,MALE,MNS,22787,31,22818,11.62%,461489,
150,Airoli,4 DR. PRAKASH DHOKANE,MALE,VBA,13409,15,13424,6.83%,461489,
150,Airoli,5 NOTA,,NOTA,5201,12,5213,2.65%,461489,
150,Airoli,6 JAISWAL RAJESH GANGAPRASAD,MALE,BSP,1374,2,1376,0.70%,461489,
150,Airoli,7 HEMANT KISAN PATIL,MALE,IND,843,2,845,0.43%,461489,
150,Airoli,8 JADHAV DIGAMBAR VITTHAL,MALE,SanS,817,,817,0.42%,461489,
150,Airoli,9 SANGEETA HANUMANT TAKALKAR,FEMALE,RBS,320,,320,0.16%,461489,
150,Airoli,10 HARJEET SINGH KUMAR,MALE,INNP,305,,305,0.16%,461489,
150,Airoli,11 ADV.BAPU POL,MALE,IND,260,,260,0.13%,461489,
150,Airoli,12 VINAY DUBEY,MALE,IND,247,,247,0.13%,461489,
 TOTAL : ,,,,,196128,296,196424,42.56%,,
151,Belapur,1 MANDA VIJAY MHATRE,FEMALE,BJP,87746,112,87858,50.34%,385993,
151,Belapur,2 ASHOK ANKUSH GAWADE,MALE,NCP,44197,64,44261,25.36%,385993,
151,Belapur,3 GAJANAN SHRIKRISHNA KALE,MALE,MNS,27573,45,27618,15.82%,385993,
151,Belapur,4 NOTA,,NOTA,3799,5,3804,2.18%,385993,
151,Belapur,5 GAUTAM DURYODHAN GAIKWAD,MALE,IND,3027,4,3031,1.74%,385993,
151,Belapur,6 CHANDRASHEKHAR JANARDAN RANADE,MALE,IND,2642,6,2648,1.52%,385993,
151,Belapur,7 AVHAD SACHIN BHARAT,MALE,BSP,1553,3,1556,0.89%,385993,
151,Belapur,8 SHANTARAM KUKRA SHETTY,MALE,IND,510,,510,0.29%,385993,
151,Belapur,9 AHUJA UMA,FEMALE,IND,485,,485,0.28%,385993,
151,Belapur,10 APPASAHEB VISHNU KSHIRSAGAR,MALE,RBS,476,1,477,0.27%,385993,
151,Belapur,11 SANTOSH R. KAMBLE,MALE,IND,457,1,458,0.26%,385993,
151,Belapur,12 Dr. AJAYKUMAR UPADHYAY,MALE,JUVJANP,451,1,452,0.26%,385993,
151,Belapur,13 KIRAN ARUN WAGHMARE,MALE,IND,278,,278,0.16%,385993,
151,Belapur,14 BHAGWAT JITAN SHARMA,MALE,IND,270,,270,0.15%,385993,
151,Belapur,15 HARJEET SINGH KUMAR,MALE,INNP,259,,259,0.15%,385993,
151,Belapur,16 VIJAY JAGANNATH MANE,MALE,IND,227,3,230,0.13%,385993,
151,Belapur,17 MUKESH THAKUR,MALE,IND,228,,228,0.13%,385993,
151,Belapur,18 BHANUDAS DHOTRE (SATARAKAR),MALE,RRP,104,,104,0.06%,385993,
 TOTAL : ,,,,,174282,245,174527,45.22%,,
152,Borivali,1 Sunil Dattatraya Rane,MALE,BJP,123522,190,123712,74.54%,301446,
152,Borivali,2 Kumar Khilare,MALE,INC,28640,51,28691,17.29%,301446,
152,Borivali,3 NOTA,,NOTA,10081,14,10095,6.08%,301446,
152,Borivali,4 Rajesh Ramkisan Mallah,MALE,BSP,2228,4,2232,1.34%,301446,
152,Borivali,5 Dhirubhai Gohil,MALE,SVPP,1234,,1234,0.74%,301446,
 TOTAL : ,,,,,165705,259,165964,55.06%,,
153,Dahisar,1 Chaudhary Manisha Ashok,FEMALE,BJP,87550,57,87607,64.87%,255297,
153,Dahisar,2 Arun Sawant,MALE,INC,23680,10,23690,17.54%,255297,
153,Dahisar,3 Rajesh Gangaram Yerunkar,MALE,MNS,17039,13,17052,12.63%,255297,
153,Dahisar,4 NOTA,,NOTA,4217,5,4222,3.13%,255297,
153,Dahisar,5 Adv. Harshatai Chowkekar,FEMALE,BSP,1014,1,1015,0.75%,255297,
153,Dahisar,6 Andrew John Fernandes,MALE,HBP,549,1,550,0.41%,255297,
153,Dahisar,7 Mahesh Pandurang Jadhav,MALE,SBBGP,346,,346,0.26%,255297,
153,Dahisar,8 Radheshyam Harishankar Vishwakarma,MALE,NJANP,291,,291,0.22%,255297,
153,Dahisar,9 Dharmendra Rammurat Pandey,MALE,IND,281,,281,0.21%,255297,
 TOTAL : ,,,,,134967,87,135054,52.90%,,
154,Magathane,1 Prakash Rajaram Surve,MALE,SHS,90090,116,90206,59.59%,274102,
154,Magathane,2 Nayan Pradeep Kadam,MALE,MNS,41015,45,41060,27.13%,274102,
154,Magathane,3 Manishankar Gaurishankar Singh Chauhan,MALE,NCP,7331,8,7339,4.85%,274102,
154,Magathane,4 NOTA,,NOTA,4845,4,4849,3.20%,274102,
154,Magathane,5 Sadanand Prabhakar Mane,MALE,IND,3351,3,3354,2.22%,274102,
154,Magathane,6 Devendra Muratsingh Thakur,MALE,IND,1534,,1534,1.01%,274102,
154,Magathane,7 Rajaram Bhiwrao Jadhav,MALE,BSP,1246,,1246,0.82%,274102,
154,Magathane,8 Manoj Vasant Bamne,MALE,BMUP,671,2,673,0.44%,274102,
154,Magathane,9 Sunil Shreehari Mandve,MALE,IND,581,,581,0.38%,274102,
154,Magathane,10 Vijaykumar Suryaprasad Mishra,MALE,NAP,529,1,530,0.35%,274102,
 TOTAL : ,,,,,151193,179,151372,55.22%,,
155,Mulund,1 Kotecha Mihir Chandrakant,MALE,BJP,87200,53,87253,56.46%,287173,
155,Mulund,2 Harshala Rajesh Chavan,FEMALE,MNS,29885,20,29905,19.35%,287173,
155,Mulund,3 Govind Singh,MALE,INC,23844,10,23854,15.44%,287173,
155,Mulund,4 NOTA,,NOTA,5193,7,5200,3.36%,287173,
155,Mulund,5 Shashikant Rohidas Mokal,MALE,VBA,4754,2,4756,3.08%,287173,
155,Mulund,6 (Anna) Shreerang Anna Kamble,MALE,BSP,950,1,951,0.62%,287173,
155,Mulund,7 Commander Sadanand Champakrao Manekar (Retd.),MALE,IND,825,1,826,0.53%,287173,
155,Mulund,8 Nilesh Chavan,MALE,JANADIP,484,,484,0.31%,287173,
155,Mulund,9 Deshpande Sanjay Saoji,MALE,IND,320,,320,0.21%,287173,
155,Mulund,10 Keshav (Kailas) Joshi,MALE,IND,316,,316,0.20%,287173,
155,Mulund,11 (Bhau) Salu Pawar,MALE,IND,270,,270,0.17%,287173,
155,Mulund,12 Goroba Babasaheb Naykile,MALE,APoI,157,,157,0.10%,287173,
155,Mulund,13 Meena Jagdish Sutrakar,FEMALE,IND,149,,149,0.10%,287173,
155,Mulund,14 Nandkumar Birbal Singh,MALE,IND,96,,96,0.06%,287173,
 TOTAL : ,,,,,154443,94,154537,53.81%,,
156,Vikhroli,1 Raut Sunil Rajaram,MALE,SHS,62669,125,62794,49.08%,231104,
156,Vikhroli,2 Dhananjay (Dada) Pisal,MALE,NCP,34881,72,34953,27.32%,231104,
156,Vikhroli,3 Vinod Ramchandra Shinde,MALE,MNS,16008,34,16042,12.54%,231104,
156,Vikhroli,4 Siddharth Mokle,MALE,VBA,9122,28,9150,7.15%,231104,
156,Vikhroli,5 NOTA,,NOTA,3157,11,3168,2.48%,231104,
156,Vikhroli,6 Shailesh Vivekanand Sonawane,MALE,BSP,831,3,834,0.65%,231104,
156,Vikhroli,7 Shashank Tulshiram Yadav,MALE,IND,362,,362,0.28%,231104,
156,Vikhroli,8 Lumbini Siddharth Bhosale,FEMALE,PRBHPRP,246,1,247,0.19%,231104,
156,Vikhroli,9 Milind Kadam,MALE,SBBGP,242,,242,0.19%,231104,
156,Vikhroli,10 Raju Shirame,MALE,SVPP,159,,159,0.12%,231104,
 TOTAL : ,,,,,127677,274,127951,55.37%,,
157,Bhandup West,1 Ramesh Gajanan Korgaonkar,MALE,SHS,71794,161,71955,45.17%,283275,
157,Bhandup West,2 Sandeep Prabhakar Jalgaonkar,MALE,MNS,42745,37,42782,26.86%,283275,
157,Bhandup West,3 Koparkar Suresh Harishchandra,MALE,INC,30694,37,30731,19.29%,283275,
157,Bhandup West,4 Satish Jaising Mane,MALE,VBA,7495,8,7503,4.71%,283275,
157,Bhandup West,5 NOTA,,NOTA,3725,7,3732,2.34%,283275,
157,Bhandup West,6 Ravi Ashok Thate,MALE,BSP,1480,3,1483,0.93%,283275,
157,Bhandup West,7 Rupali Bapu Bhadke,FEMALE,BMUP,743,1,744,0.47%,283275,
157,Bhandup West,8 Ankush Vasant Kurade,MALE,IND,351,1,352,0.22%,283275,
 TOTAL : ,,,,,159027,255,159282,56.23%,,
158,Jogeshwari East,1 Ravindra Dattaram Waikar,MALE,SHS,90401,253,90654,60.86%,281976,
158,Jogeshwari East,2 Sunil Bisan Kumre,MALE,INC,31831,36,31867,21.39%,281976,
158,Jogeshwari East,3 NOTA,,NOTA,12009,22,12031,8.08%,281976,
158,Jogeshwari East,4 Dilbag Singh,MALE,VBA,5060,15,5075,3.41%,281976,
158,Jogeshwari East,5 Vitthal Govind Lad,MALE,AAAP,3854,3,3857,2.59%,281976,
158,Jogeshwari East,6 Milind Jagannath Bhole,MALE,IND,3303,1,3304,2.22%,281976,
158,Jogeshwari East,7 Kundan Hindurao Waghmare,MALE,BSP,1249,1,1250,0.84%,281976,
158,Jogeshwari East,8 Anil Laxman Chavan,MALE,IND,926,1,927,0.62%,281976,
 TOTAL : ,,,,,148633,332,148965,52.83%,,
159,Dindoshi,1 Sunil Prabhu,MALE,SHS,82098,105,82203,52.61%,281684,
159,Dindoshi,2 Vidya Chavan,FEMALE,NCP,37653,39,37692,24.13%,281684,
159,Dindoshi,3 Arun Dhondiram Surve,MALE,MNS,25834,20,25854,16.55%,281684,
159,Dindoshi,4 Siddharth Atmaram Kakde,MALE,VBA,3319,7,3326,2.13%,281684,
159,Dindoshi,5 NOTA,,NOTA,3263,3,3266,2.09%,281684,
159,Dindoshi,6 Amit Suryakant Swami,MALE,BVA,1042,,1042,0.67%,281684,
159,Dindoshi,7 Dilip Narayan Tawde,MALE,AAAP,961,,961,0.62%,281684,
159,Dindoshi,8 Sharad G. Gaikwad,MALE,IND,695,2,697,0.45%,281684,
159,Dindoshi,9 Vijendra Kumar Rai,MALE,IND,473,,473,0.30%,281684,
159,Dindoshi,10 Comrade Dattu Kajale (Sir),MALE,SUCI(C),410,,410,0.26%,281684,
159,Dindoshi,11 Subhash Gajraj Yadav,MALE,AAPP,311,1,312,0.20%,281684,
 TOTAL : ,,,,,156059,177,156236,55.46%,,
160,Kandivali East,1 Atul Bhatkhalkar,MALE,BJP,85067,85,85152,63.22%,269510,
160,Kandivali East,2 Dr. Ajanta Rajpati Yadav,FEMALE,INC,32774,24,32798,24.35%,269510,
160,Kandivali East,3 Hemantkumar Tulshiram Kamble,MALE,MNS,10126,6,10132,7.52%,269510,
160,Kandivali East,4 NOTA,,NOTA,2776,4,2780,2.06%,269510,
160,Kandivali East,5 Rahul Manikrao Jadhav,MALE,VBA,2505,9,2514,1.87%,269510,
160,Kandivali East,6 Adv. Sumitra Shrivastava,FEMALE,AAAP,782,,782,0.58%,269510,
160,Kandivali East,7 Balkrishna Ishwar Prasad,MALE,BSP,528,1,529,0.39%,269510,
 TOTAL : ,,,,,134558,129,134687,49.97%,,
161,Charkop,1 Yogesh Sagar,MALE,BJP,108075,127,108202,71.10%,288602,
161,Charkop,2 Kalu Budhelia,MALE,INC,34420,33,34453,22.64%,288602,
161,Charkop,3 NOTA,,NOTA,4921,6,4927,3.24%,288602,
161,Charkop,4 Morris Benny Kinny,MALE,VBA,2518,5,2523,1.66%,288602,
161,Charkop,5 Farukh Abdul Mannan Khan,MALE,BSP,1037,,1037,0.68%,288602,
161,Charkop,6 Janardanji Gupta,MALE,SVPP,400,,400,0.26%,288602,
161,Charkop,7 Ansari Mohd. Azad,MALE,IND,358,,358,0.24%,288602,
161,Charkop,8 Mohammad Ibrahim Khan,MALE,BMUP,291,1,292,0.19%,288602,
 TOTAL : ,,,,,152020,172,152192,52.73%,,
162,Malad West,1 Aslam Ramzanali Shaikh,MALE,INC,79474,40,79514,50.87%,296495,
162,Malad West,2 Thakur Ramesh singh,MALE,BJP,69092,39,69131,44.22%,296495,
162,Malad West,3 NOTA,,NOTA,3485,5,3490,2.23%,296495,
162,Malad West,4 Shakeel Hasan Patni,MALE,IND,924,3,927,0.59%,296495,
162,Malad West,5 Keshav Govinda Jadhav,MALE,BSP,862,2,864,0.55%,296495,
162,Malad West,6 Ismail Shaikh,MALE,AIMIM,818,,818,0.52%,296495,
162,Malad West,7 Amzad Sarmad Shaikh,MALE,IND,680,1,681,0.44%,296495,
162,Malad West,8 VIdya Naik,FEMALE,JD(S),299,1,300,0.19%,296495,
162,Malad West,9 Venu Pillai,MALE,IND,170,,170,0.11%,296495,
162,Malad West,10 Mohammed Taufeeq Idris Quereshi,MALE,IUML,169,,169,0.11%,296495,
162,Malad West,11 Kamlesh Dhumal,MALE,IND,156,1,157,0.10%,296495,
162,Malad West,12 Jayesh Vrajlal Gohil,MALE,BMFP,97,,97,0.06%,296495,
 TOTAL : ,,,,,156226,92,156318,52.72%,,
163,Goregaon,1 VIDYA JAIPRAKASH THAKUR,FEMALE,BJP,81168,65,81233,53.34%,327926,
163,Goregaon,2 MOHITE YUVRAJ GANESH,MALE,INC,32313,13,32326,21.23%,327926,
163,Goregaon,3 VIRENDRA JADHAV,MALE,MNS,26653,36,26689,17.52%,327926,
163,Goregaon,4 NOSHAD YAKUB SHIKALGAR,MALE,VBA,5355,8,5363,3.52%,327926,
163,Goregaon,5 NOTA,,NOTA,4212,5,4217,2.77%,327926,
163,Goregaon,6 AMOL DASHARATH SAWANT,MALE,BSP,1180,1,1181,0.78%,327926,
163,Goregaon,7 BHONSLE MAHENDRA MALUSARE,MALE,IND,545,,545,0.36%,327926,
163,Goregaon,8 Adv AJAY KAILASHNATH DUBEY,MALE,JANADIP,321,1,322,0.21%,327926,
163,Goregaon,9 Adv. MITESH VARSHNEY,MALE,IND,220,,220,0.14%,327926,
163,Goregaon,10 PURUSHOTTAM MANUBHAI PATEL,MALE,IND,201,,201,0.13%,327926,
 TOTAL : ,,,,,152168,129,152297,46.44%,,
164,Versova,1 DR. BHARATI LAVEKAR,FEMALE,BJP,41026,31,41057,33.98%,285116,
164,Versova,2 BALDEV KHOSA,MALE,INC,35854,17,35871,29.69%,285116,
164,Versova,3 RAJUL SURESH PATEL,FEMALE,IND,32693,13,32706,27.07%,285116,
164,Versova,4 SANDESH DESAI,MALE,MNS,5033,4,5037,4.17%,285116,
164,Versova,5 ABDUL HAMID ABDUL QAYYUM SHAIK,MALE,VBA,2574,3,2577,2.13%,285116,
164,Versova,6 NOTA,,NOTA,2292,2,2294,1.90%,285116,
164,Versova,7 HANS KRISHANLAL SHANKARDASS,MALE,IND,387,,387,0.32%,285116,
164,Versova,8 SALEEM SHAIKH,MALE,IUML,351,1,352,0.29%,285116,
164,Versova,9 PRAVIN DABHOLKAR,MALE,IND,303,,303,0.25%,285116,
164,Versova,10 CHHAYA SUNIL TIWARI,FEMALE,JAC,236,,236,0.20%,285116,
 TOTAL : ,,,,,120749,71,120820,42.38%,,
165,Andheri West,1 Ameet Bhaskar Satam,MALE,BJP,65565,50,65615,49.23%,306222,
165,Andheri West,2 Ashok Bhau Jadhav,MALE,INC,46638,15,46653,35.00%,306222,
165,Andheri West,3 Arif Moinuddin Shaikh,MALE,AIMIM,7038,,7038,5.28%,306222,
165,Andheri West,4 Kishor Vishnu Rane,MALE,MNS,6886,5,6891,5.17%,306222,
165,Andheri West,5 NOTA,,NOTA,3103,,3103,2.33%,306222,
165,Andheri West,6 Narayanan Keshav Kidappil,MALE,CPIM,2772,,2772,2.08%,306222,
165,Andheri West,7 Dr.Ujjay Ramesh Jadhav,MALE,IND,543,1,544,0.41%,306222,
165,Andheri West,8 Sayyad Ameen Patel,MALE,IND,468,,468,0.35%,306222,
165,Andheri West,9 Gulaam Haider Gulaam Mohammad Shaikh,MALE,JANADIP,195,,195,0.15%,306222,
 TOTAL : ,,,,,133208,71,133279,43.52%,,
166,Andheri East,1 Ramesh Latke,MALE,SHS,62680,93,62773,42.67%,274716,
166,Andheri East,2 Murji Patel (Kaka),MALE,IND,45788,20,45808,31.14%,274716,
166,Andheri East,3 Amin Jagdish Kutty,MALE,INC,27925,26,27951,19.00%,274716,
166,Andheri East,4 Sharad Sopan Yetam,MALE,VBA,4314,1,4315,2.93%,274716,
166,Andheri East,5 NOTA,,NOTA,4303,8,4311,2.93%,274716,
166,Andheri East,6 Adv. Rahul Kamble,MALE,BSP,916,1,917,0.62%,274716,
166,Andheri East,7 Manojkumar Nayak (Banjara),MALE,IND,435,,435,0.30%,274716,
166,Andheri East,8 Kamlesh Kumar Nandlal Yadav,MALE,IND,347,,347,0.24%,274716,
166,Andheri East,9 Manish Prakash Raut,MALE,BVA,260,,260,0.18%,274716,
 TOTAL : ,,,,,146968,149,147117,53.55%,,
167,Vile parle,1 ALAVANI PARAG,MALE,BJP,84925,66,84991,61.03%,262346,
167,Vile parle,2 JAYANTI JIVABHAI SIROYA,MALE,INC,26549,15,26564,19.07%,262346,
167,Vile parle,3 JUILEE OMKAR SHENDE,FEMALE,MNS,18382,24,18406,13.22%,262346,
167,Vile parle,4 NOTA,,NOTA,4282,4,4286,3.08%,262346,
167,Vile parle,5 SUNDARRAO BABURAO PADMUKH,MALE,VBA,3863,4,3867,2.78%,262346,
167,Vile parle,6 RAJENDRA DAYARAM NANDAGAWALI,MALE,IND,812,,812,0.58%,262346,
167,Vile parle,7 SUNNY RAJU JAIN,MALE,BMFP,346,,346,0.25%,262346,
 TOTAL : ,,,,,139159,113,139272,53.09%,,
168,Chandivali,1 Dilip Bhausaheb Lande,MALE,SHS,85816,63,85879,43.74%,379343,
168,Chandivali,2 Khan Mohd.Arif (Naseem),MALE,INC,85436,34,85470,43.53%,379343,
168,Chandivali,3 ABUL HASAN KHAN,MALE,VBA,8871,5,8876,4.52%,379343,
168,Chandivali,4 Sumeet Pandurang Baraskar,MALE,MNS,7092,6,7098,3.62%,379343,
168,Chandivali,5 NOTA,,NOTA,3358,2,3360,1.71%,379343,
168,Chandivali,6 Mamata Shubhranshu Dixit,FEMALE,IND,1171,,1171,0.60%,379343,
168,Chandivali,7 Mohd Imran Qureshi,MALE,AIMIM,1167,,1167,0.59%,379343,
168,Chandivali,8 Er. Siraj Khan,MALE,AAAP,728,1,729,0.37%,379343,
168,Chandivali,9 Brijesh Surendranath Tiwari,MALE,LD,470,,470,0.24%,379343,
168,Chandivali,10 Machindra (Bawa) Kothare,MALE,IND,456,,456,0.23%,379343,
168,Chandivali,11 Harshvardhan R. Pandey,MALE,IND,422,,422,0.21%,379343,
168,Chandivali,12 Pt. Sunil Shukla,MALE,UnCP,366,,366,0.19%,379343,
168,Chandivali,13 Mohd. Mobin Shaikh (Azmi),MALE,IND,322,,322,0.16%,379343,
168,Chandivali,14 Sandeep (Bhau) Ramchandra Jadhav,MALE,IND,216,,216,0.11%,379343,
168,Chandivali,15 Hajrat Sardar Pathan Mulani,MALE,IND,183,,183,0.09%,379343,
168,Chandivali,16 Mohammed Hasan Shaikh,MALE,IND,156,,156,0.08%,379343,
 TOTAL : ,,,,,196230,111,196341,51.76%,,
169,Ghatkopar West,1 Ram Kadam,MALE,BJP,70176,87,70263,47.01%,271345,
169,Ghatkopar West,2 Sanjay Bhalerao,MALE,IND,41425,49,41474,27.75%,271345,
169,Ghatkopar West,3 Ganesh Arjun Chukkal,MALE,MNS,14989,30,15019,10.05%,271345,
169,Ghatkopar West,4 Anand Rajyavardhan Shukla,MALE,INC,9305,8,9313,6.23%,271345,
169,Ghatkopar West,5 Ganesh Ravsaheb Owhal,MALE,VBA,8079,9,8088,5.41%,271345,
169,Ghatkopar West,6 NOTA,,NOTA,2291,6,2297,1.54%,271345,
169,Ghatkopar West,7 Sudhir Bandu Jadhav,MALE,BSP,750,,750,0.50%,271345,
169,Ghatkopar West,8 Sandeep Prabhakar Yeole,MALE,IND,603,3,606,0.41%,271345,
169,Ghatkopar West,9 Dilip BramdeoYadav,MALE,IND,482,,482,0.32%,271345,
169,Ghatkopar West,10 Thorat Latatai (Dwarkabai Sathe),FEMALE,IND,371,1,372,0.25%,271345,
169,Ghatkopar West,11 Bhhaskar Bhhartiy,MALE,IND,307,,307,0.21%,271345,
169,Ghatkopar West,12 Chandu D. Vadar,MALE,IND,182,,182,0.12%,271345,
169,Ghatkopar West,13 Shantaram Vishnu Kamble,MALE,PPID,151,,151,0.10%,271345,
169,Ghatkopar West,14 Nikhil Narvekar,MALE,IND,149,,149,0.10%,271345,
 TOTAL : ,,,,,149260,193,149453,55.08%,,
170,Ghatkopar East,1 Parag Shah,MALE,BJP,72988,66,73054,57.70%,234656,
170,Ghatkopar East,2 Satish Sitaram Pawar,MALE,MNS,19686,49,19735,15.59%,234656,
170,Ghatkopar East,3 Manisha Sampatrao Surywanshi,FEMALE,INC,15731,22,15753,12.44%,234656,
170,Ghatkopar East,4 Vikas Damodar Pawar,MALE,VBA,10455,17,10472,8.27%,234656,
170,Ghatkopar East,5 NOTA,,NOTA,3294,3,3297,2.60%,234656,
170,Ghatkopar East,6 Adagale Vikram Popat,MALE,BSP,1348,1,1349,1.07%,234656,
170,Ghatkopar East,7 Avinash Raghunath Kadam,MALE,IND,836,1,837,0.66%,234656,
