
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
17,Chalisgaon,2 Deshmukh Rajiv Anil,MALE,NCP,81288,940,82228,37.73%,345660,
17,Chalisgaon,3 Morsing Gopa Rathod,MALE,VBA,38361,68,38429,17.63%,345660,
17,Chalisgaon,4 Dr.Vinod Murlidhar Kotkar,MALE,IND,4533,84,4617,2.12%,345660,
17,Chalisgaon,5 NOTA,,NOTA,1671,6,1677,0.77%,345660,
17,Chalisgaon,6 Rakesh Lalchand Jadhav,MALE,MNS,1394,5,1399,0.64%,345660,
17,Chalisgaon,7 Onkar Pitambar Kedar,MALE,BSP,1300,1,1301,0.60%,345660,
17,Chalisgaon,8 Vinod Madhav Sonawane,MALE,IND,1005,,1005,0.46%,345660,
17,Chalisgaon,9 Umesh Prakash Karpe,MALE,IND,779,3,782,0.36%,345660,
 TOTAL : ,,,,,215617,2336,217953,63.05%,,
18,Pachora,1 Kishor Appa Patil,MALE,SHS,74742,957,75699,37.58%,315444,
18,Pachora,2 Amol Panditrao Shinde,MALE,IND,73146,469,73615,36.55%,315444,
18,Pachora,3 Dilip Onkar Wagh,MALE,NCP,44422,539,44961,22.32%,315444,
18,Pachora,4 Naresh Pandit Patil,MALE,VBA,3193,21,3214,1.60%,315444,
18,Pachora,5 NOTA,,NOTA,1716,8,1724,0.86%,315444,
18,Pachora,6 Rajendra Suresh Chaudhari (Rana),MALE,IND,947,,947,0.47%,315444,
18,Pachora,7 Santosh Fakira More,MALE,BSP,659,10,669,0.33%,315444,
18,Pachora,8 Mango Pundalik Pagare,MALE,BAHUMP,588,,588,0.29%,315444,
 TOTAL : ,,,,,199413,2004,201417,63.85%,,
19,"Jamner	",1 Girish Dattatraya Mahajan,MALE,BJP,113765,949,114714,54.95%,308952,
19,"Jamner	",2 Sanjay Bhaskarrao Garud,MALE,NCP,79022,678,79700,38.18%,308952,
19,"Jamner	",3 Bhimrao Namdeo Chavan,MALE,VBA,6452,19,6471,3.10%,308952,
19,"Jamner	",4 Vijay Jagan Tanvar,MALE,RaJPa,2118,,2118,1.01%,308952,
19,"Jamner	",5 NOTA,,NOTA,2097,8,2105,1.01%,308952,
19,"Jamner	",6 ?Dr. Vijayanand Arun Kulkarni,MALE,MNS,1435,4,1439,0.69%,308952,
19,"Jamner	",7 Shaktivardhan Shantaram Surwade,MALE,BSP,668,5,673,0.32%,308952,
19,"Jamner	",8 Gajanan Ramkrushna Mali,MALE,IND,659,,659,0.32%,308952,
19,"Jamner	",9 Pavan Pandurang Bande,MALE,IND,513,1,514,0.25%,308952,
19,"Jamner	",10 Vasant Ramu Ingale,MALE,IND,372,,372,0.18%,308952,
 TOTAL : ,,,,,207101,1664,208765,67.57%,,
